Product title,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Hololive - Blooming Radiance Booster Pack (Trading Card Game) (1 pack),Cards,4,27.96,-4.17,0.0,23.79,1.84,25.63
Bocchi the Rock! - Bocchi-chan Full of Figures BOX ver. (1 piece),Figure,4,27.96,-4.19,0.0,23.77,1.84,25.61
Pokemon Card - Expansion Pack - Ancient Roar (1 pack),Cards,7,39.9,-5.36,-10.78,23.76,1.83,25.59
"Hatsune Miku - Chubby Collection more plus 4.3"" Figure 2-Color Set",Figure,1,26.99,-4.04,0.0,22.95,1.78,24.73
Jujutsu Kaisen - Fushiguro Megumi vol.2 Prize Figure,Figure,1,26.99,-4.05,0.0,22.94,1.78,24.72
Pokémon - Japanese Window Figure (1 piece),Figure,2,25.98,-3.88,0.0,22.1,1.72,23.82
Misc Acrylic Keychain($12.99),Accessories,2,25.98,-3.89,0.0,22.09,1.72,23.81
Date A Live- Kurumi Tokisaki Casual Outfit Ver,Figure,1,24.99,-3.74,0.0,21.25,1.65,22.9
Ghibli - My Neighbor Totoro: Roly-Poly Figure (Medium): Chu Totoro,Figure,1,24.99,-3.75,0.0,21.24,1.64,22.88
Pokemon Card - Expansion Pack - Ultra Electric Breaker (1 pack),Cards,5,24.95,-3.75,0.0,21.2,1.63,22.83
Misc 3D Stickers,Sticker,6,23.94,-3.56,0.0,20.38,1.57,21.95
Blue Lock - DefoRaba! Constellation Keychain Collectionzz (1 piece),Accessories,3,23.97,-3.6,0.0,20.37,1.57,21.94
Pokemon Card - Mask of Transformation Expansion Pack (Trading Card Game) ( (1 pack),Cards,6,35.91,-4.8,-10.77,20.34,1.57,21.91
One-Punch Man - Trading Figure Collection Vol.1 (1 piece),Figure,2,21.98,-3.29,0.0,18.69,1.45,20.14
Genshin Impact - Battle Scene Mondstadt Edition Collection Figure (1 piece),Figure,1,19.99,-1.99,0.0,18.0,1.4,19.4
Frieren: Beyond Journey's End - Rubber Mascot Collection Vol.2 (1 piece),Accessories,3,20.97,-3.15,0.0,17.82,1.38,19.2
Pokémon - Mini Figure (Gemstone Collection2) (1 piece),Figure,1,18.99,-1.89,0.0,17.1,1.33,18.43
Ghibli - Ponyo on the Cliff Plush Toy - Size S,Plushes & Cusions,1,19.99,-2.99,0.0,17.0,1.32,18.32
Pokemon - Aqua Bottle 2 Collection Figurine (1 piece),Figure,1,19.99,-3.0,0.0,16.99,1.31,18.3
Pokemon - Frame Deep Green Forest (1 piece),Figure,1,19.99,-3.0,0.0,16.99,1.31,18.3
